ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11192279,JB100058,12/31/2017 11:10:00 PM,075XX S KINGSTON AVE,610,BURGLARY,FORCIBLE ENTRY,APARTMENT,,,421,4,7,43,5,1194505,1855397,2017,2018 May 04 3:51:04 PM,41.758134982,-87.562718432,"(41.758134982°, -87.562718432°)"
11192204,JA569450,12/31/2017 11:07:00 PM,024XX E 78TH ST,497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,RESIDENCE,,✓,421,4,7,43,04B,1193681,1853719,2017,2018 May 04 3:51:04 PM,41.753550633,-87.565793115,"(41.753550633°, -87.565793115°)"
11222297,JB140115,12/31/2017 11:00:00 PM,003XX N DEARBORN ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESTAURANT,,,1831,18,42,8,11,,,2017,2018 Feb 04 3:53:41 PM,,,
11192652,JB100695,12/31/2017 11:00:00 PM,0000X S PULASKI RD,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,,,1122,11,28,26,14,1149731,1899625,2017,2018 May 04 3:51:04 PM,41.880486258,-87.725665179,"(41.880486258°, -87.725665179°)"
11193298,JB101665,12/31/2017 11:00:00 PM,065XX S HARVARD AVE,820,THEFT,$500 AND UNDER,RESIDENCE,,,722,7,20,68,6,1175193,1861522,2017,2018 May 04 3:51:04 PM,41.775395602,-87.633311659,"(41.775395602°, -87.633311659°)"
11195859,JB105137,12/31/2017 11:00:00 PM,054XX N SAWYER AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,OTHER,,✓,1712,17,40,13,26,1153733,1935883,2017,2018 May 04 3:51:04 PM,41.97990239,-87.710002228,"(41.97990239°, -87.710002228°)"
11192504,JB100401,12/31/2017 11:00:00 PM,043XX W MARQUETTE RD,610,BURGLARY,FORCIBLE ENTRY,RESTAURANT,,,833,8,13,65,5,1148726,1859822,2017,2018 May 04 3:51:04 PM,41.771280749,-87.730381192,"(41.771280749°, -87.730381192°)"
11192657,JB100597,12/31/2017 11:00:00 PM,002XX W OHIO ST,281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,BAR OR TAVERN,,,1831,18,42,8,2,1174498,1904149,2017,2018 May 04 3:51:04 PM,41.892383161,-87.634588313,"(41.892383161°, -87.634588313°)"
11193671,JB101759,12/31/2017 11:00:00 PM,028XX W WILCOX ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,,,1124,11,2,27,14,1157580,1899231,2017,2018 May 04 3:51:04 PM,41.879248965,-87.696855018,"(41.879248965°, -87.696855018°)"
11193107,JB101337,12/31/2017 11:00:00 PM,047XX N MONTICELLO AVE,620,BURGLARY,UNLAWFUL ENTRY,ANIMAL HOSPITAL,,,1723,17,33,14,5,1151198,1931301,2017,2018 May 04 3:51:04 PM,41.967379335,-87.71944578,"(41.967379335°, -87.71944578°)"
11222313,JB139841,12/31/2017 11:00:00 PM,003XX N DEARBORN ST,890,THEFT,FROM BUILDING,RESTAURANT,,,1831,18,42,8,6,,,2017,2018 Feb 04 3:53:41 PM,,,
11193819,JB102430,12/31/2017 11:00:00 PM,017XX W TAYLOR ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,,✓,1231,12,2,28,08B,1164761,1895624,2017,2018 May 04 3:51:04 PM,41.869201889,-87.670589881,"(41.869201889°, -87.670589881°)"
11216325,JB127628,12/31/2017 11:00:00 PM,007XX S CLAREMONT AVE,820,THEFT,$500 AND UNDER,RESIDENCE,,,1225,12,2,28,6,,,2017,2018 Jan 28 3:52:49 PM,,,
11192330,JA569417,12/31/2017 11:00:00 PM,006XX W 62ND ST,820,THEFT,$500 AND UNDER,STREET,,,711,7,16,68,6,1173037,1863776,2017,2018 May 04 3:51:04 PM,41.781628721,-87.641148763,"(41.781628721°, -87.641148763°)"
11192687,JB100655,12/31/2017 11:00:00 PM,006XX N FAIRBANKS CT,870,THEFT,POCKET-PICKING,BAR OR TAVERN,,,1834,18,42,8,6,1178393,1904480,2017,2018 May 04 3:51:04 PM,41.893203509,-87.620273669,"(41.893203509°, -87.620273669°)"
11192215,JA569457,12/31/2017 10:55:00 PM,061XX W BLOOMINGDALE AVE,560,ASSAULT,SIMPLE,STREET,,✓,2513,25,29,25,08A,1135383,1911330,2017,2018 May 04 3:51:04 PM,41.912872978,-87.778072273,"(41.912872978°, -87.778072273°)"
