trip_id,duration_sec,start_date,start_station_name,start_station_id,end_date,end_station_name,end_station_id,bike_number,zip_code,subscriber_type
1210164,232,05/20/2016 21:33:00,Redwood City Caltrain Station,22,05/20/2016 21:37:00,Mezes,83,685,94063,Customer
1017900,259,11/20/2015 18:07:00,Redwood City Caltrain Station,22,11/20/2015 18:12:00,Mezes,83,28,94063,Subscriber
935346,315,09/17/2015 17:08:00,Redwood City Caltrain Station,22,09/17/2015 17:13:00,Mezes,83,256,94063,Subscriber
1173689,322,04/22/2016 17:27:00,Redwood City Caltrain Station,22,04/22/2016 17:32:00,Mezes,83,704,94063,Subscriber
937074,284,09/18/2015 17:07:00,Redwood City Caltrain Station,22,09/18/2015 17:12:00,Mezes,83,256,94063,Subscriber
1031642,267,12/07/2015 18:08:00,Redwood City Caltrain Station,22,12/07/2015 18:13:00,Mezes,83,131,94063,Subscriber
994547,240,11/02/2015 18:08:00,Redwood City Caltrain Station,22,11/02/2015 18:12:00,Mezes,83,52,94063,Subscriber
952654,284,09/30/2015 20:02:00,Redwood City Caltrain Station,22,09/30/2015 20:07:00,Mezes,83,131,94063,Subscriber
1022219,289,11/25/2015 17:07:00,Redwood City Caltrain Station,22,11/25/2015 17:12:00,Mezes,83,704,94063,Subscriber
1193423,326,05/09/2016 17:31:00,Redwood City Caltrain Station,22,05/09/2016 17:37:00,Mezes,83,64,94063,Subscriber
1006032,264,11/11/2015 18:07:00,Redwood City Caltrain Station,22,11/11/2015 18:11:00,Mezes,83,182,94063,Subscriber
1151993,289,04/06/2016 17:35:00,Redwood City Caltrain Station,22,04/06/2016 17:40:00,Mezes,83,642,94063,Subscriber
1011555,502,11/16/2015 18:13:00,Redwood City Caltrain Station,22,11/16/2015 18:21:00,Mezes,83,35,94063,Subscriber
1078381,266,02/01/2016 18:09:00,Redwood City Caltrain Station,22,02/01/2016 18:13:00,Mezes,83,577,94063,Subscriber
1076369,284,01/29/2016 18:07:00,Redwood City Caltrain Station,22,01/29/2016 18:12:00,Mezes,83,577,94063,Subscriber
1162378,256,04/14/2016 17:07:00,Redwood City Caltrain Station,22,04/14/2016 17:11:00,Mezes,83,642,94063,Subscriber
939668,241,09/21/2015 17:33:00,Redwood City Caltrain Station,22,09/21/2015 17:37:00,Mezes,83,246,94063,Subscriber
1140228,315,03/28/2016 18:07:00,Redwood City Caltrain Station,22,03/28/2016 18:12:00,Mezes,83,185,94063,Subscriber
1182524,323,04/29/2016 17:10:00,Redwood City Caltrain Station,22,04/29/2016 17:15:00,Mezes,83,196,94063,Subscriber
1096812,288,02/17/2016 19:35:00,Redwood City Caltrain Station,22,02/17/2016 19:39:00,Mezes,83,127,94063,Subscriber
964797,257,10/09/2015 17:06:00,Redwood City Caltrain Station,22,10/09/2015 17:10:00,Mezes,83,655,94063,Subscriber
1128621,304,03/17/2016 18:07:00,Redwood City Caltrain Station,22,03/17/2016 18:12:00,Mezes,83,44,94063,Subscriber
981898,332,10/22/2015 17:32:00,Redwood City Caltrain Station,22,10/22/2015 17:37:00,Mezes,83,155,94063,Subscriber
944688,309,09/24/2015 17:10:00,Redwood City Caltrain Station,22,09/24/2015 17:15:00,Mezes,83,88,94063,Subscriber
1036836,343,12/11/2015 17:07:00,Redwood City Caltrain Station,22,12/11/2015 17:13:00,Mezes,83,84,94063,Subscriber
1021356,362,11/24/2015 18:08:00,Redwood City Caltrain Station,22,11/24/2015 18:14:00,Mezes,83,21,94063,Subscriber
1169080,302,04/19/2016 18:28:00,Redwood City Caltrain Station,22,04/19/2016 18:33:00,Mezes,83,196,94063,Subscriber
969469,225,10/13/2015 18:51:00,Redwood City Caltrain Station,22,10/13/2015 18:55:00,Mezes,83,655,94063,Subscriber
997796,285,11/04/2015 18:07:00,Redwood City Caltrain Station,22,11/04/2015 18:12:00,Mezes,83,657,94063,Subscriber
1080970,284,02/03/2016 18:08:00,Redwood City Caltrain Station,22,02/03/2016 18:12:00,Mezes,83,127,94063,Subscriber
990923,290,10/29/2015 17:33:00,Redwood City Caltrain Station,22,10/29/2015 17:38:00,Mezes,83,52,94063,Subscriber
1114664,318,03/03/2016 18:10:00,Redwood City Caltrain Station,22,03/03/2016 18:15:00,Mezes,83,246,94063,Subscriber
1123791,296,03/14/2016 17:33:00,Redwood City Caltrain Station,22,03/14/2016 17:38:00,Mezes,83,246,94063,Subscriber
1153793,254,04/07/2016 18:08:00,Redwood City Caltrain Station,22,04/07/2016 18:12:00,Mezes,83,642,94063,Subscriber
999506,260,11/05/2015 18:09:00,Redwood City Caltrain Station,22,11/05/2015 18:13:00,Mezes,83,657,94063,Subscriber
940890,279,09/22/2015 11:56:00,Redwood City Caltrain Station,22,09/22/2015 12:00:00,Mezes,83,88,94063,Subscriber
1068467,289,01/22/2016 17:07:00,Redwood City Caltrain Station,22,01/22/2016 17:12:00,Mezes,83,233,94063,Subscriber
992702,272,10/30/2015 18:07:00,Redwood City Caltrain Station,22,10/30/2015 18:12:00,Mezes,83,52,94063,Subscriber
1052902,275,01/06/2016 15:57:00,Redwood City Caltrain Station,22,01/06/2016 16:01:00,Mezes,83,246,94063,Subscriber
1163942,283,04/15/2016 17:07:00,Redwood City Caltrain Station,22,04/15/2016 17:12:00,Mezes,83,642,94063,Subscriber
974374,221,10/16/2015 17:43:00,Redwood City Caltrain Station,22,10/16/2015 17:46:00,Mezes,83,650,94063,Subscriber
950743,263,09/29/2015 17:33:00,Redwood City Caltrain Station,22,09/29/2015 17:37:00,Mezes,83,88,94063,Subscriber
1134883,312,03/23/2016 17:32:00,Redwood City Caltrain Station,22,03/23/2016 17:37:00,Mezes,83,299,94063,Subscriber
1160949,270,04/13/2016 18:08:00,Redwood City Caltrain Station,22,04/13/2016 18:12:00,Mezes,83,642,94063,Subscriber
1068760,241,01/23/2016 9:43:00,Redwood City Caltrain Station,22,01/23/2016 9:47:00,Mezes,83,155,94070,Subscriber
1111147,289,03/01/2016 15:01:00,Redwood City Caltrain Station,22,03/01/2016 15:06:00,Mezes,83,174,94107,Subscriber
951818,206,09/30/2015 9:59:00,Redwood City Caltrain Station,22,09/30/2015 10:02:00,Mezes,83,175,94707,Subscriber
948306,239,09/28/2015 9:20:00,Redwood City Caltrain Station,22,09/28/2015 9:24:00,Mezes,83,93,94707,Subscriber
949971,201,09/29/2015 9:22:00,Redwood City Caltrain Station,22,09/29/2015 9:26:00,Mezes,83,93,94707,Subscriber
942343,183,09/23/2015 9:29:00,Redwood City Caltrain Station,22,09/23/2015 9:32:00,Mezes,83,694,94707,Subscriber
1009664,8864,11/14/2015 14:51:00,Japantown,9,11/14/2015 17:18:00,Japantown,9,676,nil,Customer
218401,11758,03/18/2014 14:56:00,Japantown,9,03/18/2014 18:12:00,Japantown,9,210,nil,Customer
270587,1333,05/03/2014 14:59:00,Japantown,9,05/03/2014 15:21:00,Japantown,9,30,nil,Customer
691839,438,03/20/2015 22:25:00,Japantown,9,03/20/2015 22:33:00,Japantown,9,43,nil,Customer
1279841,3486,07/18/2016 0:34:00,Japantown,9,07/18/2016 1:32:00,Japantown,9,149,9133,Customer
815510,10159,06/20/2015 19:02:00,Japantown,9,06/20/2015 21:51:00,Japantown,9,42,44139,Customer
249715,1702,04/15/2014 20:17:00,Japantown,9,04/15/2014 20:45:00,Japantown,9,49,60305,Customer
39285,4150,09/29/2013 15:06:00,Japantown,9,09/29/2013 16:15:00,Japantown,9,106,94042,Customer
1093744,4561,02/15/2016 16:50:00,Japantown,9,02/15/2016 18:06:00,Japantown,9,117,94070,Customer
920997,10443,09/06/2015 15:00:00,Japantown,9,09/06/2015 17:54:00,Japantown,9,668,94110,Customer
1138219,3951,03/26/2016 11:12:00,Redwood City Caltrain Station,22,03/26/2016 12:18:00,Mezes,83,577,94117,Customer
873348,8377,08/03/2015 14:26:00,Japantown,9,08/03/2015 16:45:00,Japantown,9,103,94560,Customer
158467,1392,01/18/2014 18:43:00,Japantown,9,01/18/2014 19:07:00,Japantown,9,159,94564,Customer
252213,6320,04/17/2014 15:09:00,Japantown,9,04/17/2014 16:54:00,Japantown,9,659,94587,Customer
252212,6324,04/17/2014 15:08:00,Japantown,9,04/17/2014 16:54:00,Japantown,9,176,94587,Customer
212536,872,03/13/2014 12:13:00,Japantown,9,03/13/2014 12:28:00,Japantown,9,672,95031,Customer
871977,10162,08/01/2015 19:51:00,Japantown,9,08/01/2015 22:40:00,Japantown,9,130,95051,Customer
871985,9699,08/01/2015 19:59:00,Japantown,9,08/01/2015 22:41:00,Japantown,9,488,95054,Customer
965329,2318,10/10/2015 11:46:00,Japantown,9,10/10/2015 12:25:00,Japantown,9,50,95110,Customer
1099748,4128,02/20/2016 17:19:00,Japantown,9,02/20/2016 18:28:00,Japantown,9,57,95112,Customer
940826,1491,09/22/2015 10:35:00,Japantown,9,09/22/2015 11:00:00,Japantown,9,54,95112,Customer
740710,46126,04/25/2015 11:14:00,Japantown,9,04/26/2015 0:02:00,Japantown,9,90,95112,Customer
307863,58941,06/02/2014 19:27:00,Japantown,9,06/03/2014 11:49:00,Japantown,9,299,95112,Customer
608884,19220,01/18/2015 15:19:00,Japantown,9,01/18/2015 20:40:00,Japantown,9,68,95112,Customer
740713,46072,04/25/2015 11:15:00,Japantown,9,04/26/2015 0:03:00,Japantown,9,256,95112,Customer
98351,164,11/16/2013 10:52:00,Japantown,9,11/16/2013 10:55:00,Japantown,9,187,95112,Customer
287846,3298,05/16/2014 23:50:00,Japantown,9,05/17/2014 0:45:00,Japantown,9,709,95112,Customer
284719,1053,05/14/2014 22:50:00,Japantown,9,05/14/2014 23:08:00,Japantown,9,72,95112,Customer
473196,489435,09/28/2014 18:21:00,Japantown,9,10/04/2014 10:19:00,Japantown,9,685,95116,Customer
824959,1484,06/27/2015 14:30:00,Japantown,9,06/27/2015 14:54:00,Japantown,9,154,95120,Customer
824958,1518,06/27/2015 14:29:00,Japantown,9,06/27/2015 14:55:00,Japantown,9,206,95120,Customer
363633,1361,07/14/2014 23:39:00,Japantown,9,07/15/2014 0:02:00,Japantown,9,12,95121,Customer
1268874,3072,07/08/2016 2:41:00,Japantown,9,07/08/2016 3:32:00,Japantown,9,257,95121,Customer
287843,3514,05/16/2014 23:47:00,Japantown,9,05/17/2014 0:46:00,Japantown,9,184,95123,Customer
956133,1512,10/03/2015 15:48:00,Japantown,9,10/03/2015 16:13:00,Japantown,9,660,95123,Customer
270637,4427,05/03/2014 15:46:00,Japantown,9,05/03/2014 17:00:00,Japantown,9,658,95124,Customer
363634,1334,07/14/2014 23:40:00,Japantown,9,07/15/2014 0:02:00,Japantown,9,112,95131,Customer
1279192,320,07/16/2016 9:49:00,Japantown,9,07/16/2016 9:55:00,Japantown,9,64,95132,Customer
881594,2775,08/08/2015 16:37:00,Japantown,9,08/08/2015 17:23:00,Japantown,9,104,95136,Customer
881584,320,08/08/2015 16:18:00,Japantown,9,08/08/2015 16:23:00,Japantown,9,104,95136,Customer
881593,2844,08/08/2015 16:36:00,Japantown,9,08/08/2015 17:24:00,Japantown,9,130,95136,Customer
150636,545,01/12/2014 15:08:00,Japantown,9,01/12/2014 15:18:00,Japantown,9,80,95148,Customer
163424,3813,01/23/2014 13:41:00,Japantown,9,01/23/2014 14:44:00,Japantown,9,59,95158,Customer
73163,9875,10/26/2013 15:17:00,Japantown,9,10/26/2013 18:01:00,Japantown,9,686,95164,Customer
1268873,3024,07/08/2016 2:41:00,Japantown,9,07/08/2016 3:31:00,Japantown,9,196,95219,Customer
218407,11642,03/18/2014 14:58:00,Japantown,9,03/18/2014 18:12:00,Japantown,9,82,96706,Customer
1184988,1415,05/02/2016 17:54:00,Japantown,9,05/02/2016 18:17:00,Japantown,9,644,97035,Customer
70765,1582,10/24/2013 15:05:00,Japantown,9,10/24/2013 15:31:00,Japantown,9,261,94041,Subscriber
1067727,282,01/21/2016 18:08:00,Redwood City Caltrain Station,22,01/21/2016 18:12:00,Mezes,83,233,94063,Subscriber
1129807,293,03/18/2016 17:07:00,Redwood City Caltrain Station,22,03/18/2016 17:12:00,Mezes,83,44,94063,Subscriber
1034666,271,12/09/2015 20:23:00,Redwood City Caltrain Station,22,12/09/2015 20:28:00,Mezes,83,84,94063,Subscriber
1157361,240,04/11/2016 18:07:00,Redwood City Caltrain Station,22,04/11/2016 18:11:00,Mezes,83,642,94063,Subscriber
954253,213,10/01/2015 19:27:00,Redwood City Caltrain Station,22,10/01/2015 19:30:00,Mezes,83,102,94063,Subscriber
1004458,265,11/10/2015 18:08:00,Redwood City Caltrain Station,22,11/10/2015 18:13:00,Mezes,83,182,94063,Subscriber
1016549,225,11/19/2015 21:34:00,Redwood City Caltrain Station,22,11/19/2015 21:37:00,Mezes,83,28,94063,Subscriber
980145,352,10/21/2015 17:31:00,Redwood City Caltrain Station,22,10/21/2015 17:37:00,Mezes,83,650,94063,Subscriber
955298,286,10/02/2015 16:20:00,Redwood City Caltrain Station,22,10/02/2015 16:24:00,Mezes,83,102,94063,Subscriber
1172486,235,04/21/2016 18:31:00,Redwood City Caltrain Station,22,04/21/2016 18:35:00,Mezes,83,91,94063,Subscriber
1099118,294,02/19/2016 17:07:00,Redwood City Caltrain Station,22,02/19/2016 17:12:00,Mezes,83,196,94063,Subscriber
617556,291,01/25/2015 14:02:00,Japantown,9,01/25/2015 14:06:00,Japantown,9,51,94105,Subscriber
516073,1410,10/26/2014 22:24:00,Japantown,9,10/26/2014 22:47:00,Japantown,9,710,94110,Subscriber
635342,2639,02/08/2015 15:15:00,Japantown,9,02/08/2015 15:59:00,Japantown,9,211,94110,Subscriber
934706,243,09/17/2015 9:22:00,Redwood City Caltrain Station,22,09/17/2015 9:26:00,Mezes,83,215,94707,Subscriber
938968,180,09/21/2015 9:29:00,Redwood City Caltrain Station,22,09/21/2015 9:32:00,Mezes,83,256,94707,Subscriber
617181,157,01/24/2015 16:02:00,Japantown,9,01/24/2015 16:05:00,Japantown,9,211,95106,Subscriber
196047,1063,02/25/2014 18:29:00,Japantown,9,02/25/2014 18:46:00,Japantown,9,645,95112,Subscriber
1023243,783,11/29/2015 16:00:00,Japantown,9,11/29/2015 16:13:00,Japantown,9,676,95112,Subscriber
322358,275,06/12/2014 19:13:00,Japantown,9,06/12/2014 19:17:00,Japantown,9,299,95112,Subscriber
546711,347,11/17/2014 7:23:00,Japantown,9,11/17/2014 7:29:00,Japantown,9,691,95112,Subscriber
267440,357,05/01/2014 7:17:00,Japantown,9,05/01/2014 7:23:00,Japantown,9,50,95112,Subscriber
81496,932,11/02/2013 23:05:00,Japantown,9,11/02/2013 23:21:00,Japantown,9,153,95112,Subscriber
4310,537,08/29/2013 12:05:00,Japantown,9,08/29/2013 12:14:00,Japantown,9,638,95112,Subscriber
132662,1094,12/20/2013 18:24:00,Japantown,9,12/20/2013 18:42:00,Japantown,9,256,95112,Subscriber
1009969,681,11/15/2015 13:36:00,Japantown,9,11/15/2015 13:47:00,Japantown,9,78,95112,Subscriber
128577,506,12/17/2013 15:11:00,Japantown,9,12/17/2013 15:19:00,Japantown,9,256,95112,Subscriber
183811,1737,02/13/2014 17:09:00,Japantown,9,02/13/2014 17:38:00,Japantown,9,157,95112,Subscriber
110543,1172,11/29/2013 4:06:00,Japantown,9,11/29/2013 4:26:00,Japantown,9,697,95112,Subscriber
42305,786,10/01/2013 23:37:00,Japantown,9,10/01/2013 23:50:00,Japantown,9,99,95112,Subscriber
1245969,894,06/19/2016 20:43:00,Japantown,9,06/19/2016 20:58:00,Japantown,9,661,95112,Subscriber
12073,68,09/06/2013 8:05:00,Japantown,9,09/06/2013 8:06:00,Japantown,9,80,95112,Subscriber
422257,8858,08/24/2014 20:22:00,Japantown,9,08/24/2014 22:49:00,Japantown,9,15,95112,Subscriber
103447,524,11/21/2013 15:52:00,Japantown,9,11/21/2013 16:00:00,Japantown,9,88,95112,Subscriber
264601,440,04/29/2014 9:23:00,Japantown,9,04/29/2014 9:30:00,Japantown,9,221,95122,Subscriber
542795,917,11/13/2014 9:16:00,Japantown,9,11/13/2014 9:31:00,Japantown,9,668,95122,Subscriber
560981,621,11/29/2014 16:18:00,Japantown,9,11/29/2014 16:29:00,Japantown,9,117,95122,Subscriber
519238,1430,10/28/2014 16:07:00,Japantown,9,10/28/2014 16:31:00,Japantown,9,26,95122,Subscriber
207412,955,03/09/2014 18:41:00,Japantown,9,03/09/2014 18:57:00,Japantown,9,156,95122,Subscriber
284893,317,05/15/2014 8:02:00,Japantown,9,05/15/2014 8:08:00,Japantown,9,709,95122,Subscriber
555992,857,11/24/2014 9:38:00,Japantown,9,11/24/2014 9:53:00,Japantown,9,159,95122,Subscriber
199784,640,03/03/2014 8:27:00,Japantown,9,03/03/2014 8:38:00,Japantown,9,74,95122,Subscriber
