,station_id,name,latitude,longitude,dockcount,landmark,installation_date,trip_id,duration_sec,start_date,start_station_name,start_station_id,end_date,end_station_name,end_station_id,bike_number,zip_code,subscriber_type
31,9,Japantown,37.348742,-121.89471499999999,15,San Jose,08/05/2013 0:00:00,1268874,3072,07/08/2016 2:41:00,Japantown,9,07/08/2016 3:32:00,Japantown,9,257,95121,Customer
32,9,Japantown,37.348742,-121.89471499999999,15,San Jose,08/05/2013 0:00:00,287843,3514,05/16/2014 23:47:00,Japantown,9,05/17/2014 0:46:00,Japantown,9,184,95123,Customer
33,9,Japantown,37.348742,-121.89471499999999,15,San Jose,08/05/2013 0:00:00,956133,1512,10/03/2015 15:48:00,Japantown,9,10/03/2015 16:13:00,Japantown,9,660,95123,Customer
34,9,Japantown,37.348742,-121.89471499999999,15,San Jose,08/05/2013 0:00:00,270637,4427,05/03/2014 15:46:00,Japantown,9,05/03/2014 17:00:00,Japantown,9,658,95124,Customer
35,9,Japantown,37.348742,-121.89471499999999,15,San Jose,08/05/2013 0:00:00,363634,1334,07/14/2014 23:40:00,Japantown,9,07/15/2014 0:02:00,Japantown,9,112,95131,Customer
36,9,Japantown,37.348742,-121.89471499999999,15,San Jose,08/05/2013 0:00:00,1279192,320,07/16/2016 9:49:00,Japantown,9,07/16/2016 9:55:00,Japantown,9,64,95132,Customer
37,9,Japantown,37.348742,-121.89471499999999,15,San Jose,08/05/2013 0:00:00,881594,2775,08/08/2015 16:37:00,Japantown,9,08/08/2015 17:23:00,Japantown,9,104,95136,Customer
38,9,Japantown,37.348742,-121.89471499999999,15,San Jose,08/05/2013 0:00:00,881584,320,08/08/2015 16:18:00,Japantown,9,08/08/2015 16:23:00,Japantown,9,104,95136,Customer
39,9,Japantown,37.348742,-121.89471499999999,15,San Jose,08/05/2013 0:00:00,881593,2844,08/08/2015 16:36:00,Japantown,9,08/08/2015 17:24:00,Japantown,9,130,95136,Customer
40,9,Japantown,37.348742,-121.89471499999999,15,San Jose,08/05/2013 0:00:00,150636,545,01/12/2014 15:08:00,Japantown,9,01/12/2014 15:18:00,Japantown,9,80,95148,Customer
41,9,Japantown,37.348742,-121.89471499999999,15,San Jose,08/05/2013 0:00:00,163424,3813,01/23/2014 13:41:00,Japantown,9,01/23/2014 14:44:00,Japantown,9,59,95158,Customer
42,9,Japantown,37.348742,-121.89471499999999,15,San Jose,08/05/2013 0:00:00,73163,9875,10/26/2013 15:17:00,Japantown,9,10/26/2013 18:01:00,Japantown,9,686,95164,Customer
43,9,Japantown,37.348742,-121.89471499999999,15,San Jose,08/05/2013 0:00:00,1268873,3024,07/08/2016 2:41:00,Japantown,9,07/08/2016 3:31:00,Japantown,9,196,95219,Customer
44,9,Japantown,37.348742,-121.89471499999999,15,San Jose,08/05/2013 0:00:00,218407,11642,03/18/2014 14:58:00,Japantown,9,03/18/2014 18:12:00,Japantown,9,82,96706,Customer
45,9,Japantown,37.348742,-121.89471499999999,15,San Jose,08/05/2013 0:00:00,1184988,1415,05/02/2016 17:54:00,Japantown,9,05/02/2016 18:17:00,Japantown,9,644,97035,Customer
46,9,Japantown,37.348742,-121.89471499999999,15,San Jose,08/05/2013 0:00:00,70765,1582,10/24/2013 15:05:00,Japantown,9,10/24/2013 15:31:00,Japantown,9,261,94041,Subscriber
47,9,Japantown,37.348742,-121.89471499999999,15,San Jose,08/05/2013 0:00:00,617556,291,01/25/2015 14:02:00,Japantown,9,01/25/2015 14:06:00,Japantown,9,51,94105,Subscriber
48,9,Japantown,37.348742,-121.89471499999999,15,San Jose,08/05/2013 0:00:00,516073,1410,10/26/2014 22:24:00,Japantown,9,10/26/2014 22:47:00,Japantown,9,710,94110,Subscriber
49,9,Japantown,37.348742,-121.89471499999999,15,San Jose,08/05/2013 0:00:00,635342,2639,02/08/2015 15:15:00,Japantown,9,02/08/2015 15:59:00,Japantown,9,211,94110,Subscriber
50,9,Japantown,37.348742,-121.89471499999999,15,San Jose,08/05/2013 0:00:00,617181,157,01/24/2015 16:02:00,Japantown,9,01/24/2015 16:05:00,Japantown,9,211,95106,Subscriber
51,9,Japantown,37.348742,-121.89471499999999,15,San Jose,08/05/2013 0:00:00,196047,1063,02/25/2014 18:29:00,Japantown,9,02/25/2014 18:46:00,Japantown,9,645,95112,Subscriber
52,9,Japantown,37.348742,-121.89471499999999,15,San Jose,08/05/2013 0:00:00,1023243,783,11/29/2015 16:00:00,Japantown,9,11/29/2015 16:13:00,Japantown,9,676,95112,Subscriber
53,9,Japantown,37.348742,-121.89471499999999,15,San Jose,08/05/2013 0:00:00,322358,275,06/12/2014 19:13:00,Japantown,9,06/12/2014 19:17:00,Japantown,9,299,95112,Subscriber
54,9,Japantown,37.348742,-121.89471499999999,15,San Jose,08/05/2013 0:00:00,546711,347,11/17/2014 7:23:00,Japantown,9,11/17/2014 7:29:00,Japantown,9,691,95112,Subscriber
55,9,Japantown,37.348742,-121.89471499999999,15,San Jose,08/05/2013 0:00:00,267440,357,05/01/2014 7:17:00,Japantown,9,05/01/2014 7:23:00,Japantown,9,50,95112,Subscriber
56,9,Japantown,37.348742,-121.89471499999999,15,San Jose,08/05/2013 0:00:00,81496,932,11/02/2013 23:05:00,Japantown,9,11/02/2013 23:21:00,Japantown,9,153,95112,Subscriber
57,9,Japantown,37.348742,-121.89471499999999,15,San Jose,08/05/2013 0:00:00,4310,537,08/29/2013 12:05:00,Japantown,9,08/29/2013 12:14:00,Japantown,9,638,95112,Subscriber
58,9,Japantown,37.348742,-121.89471499999999,15,San Jose,08/05/2013 0:00:00,132662,1094,12/20/2013 18:24:00,Japantown,9,12/20/2013 18:42:00,Japantown,9,256,95112,Subscriber
59,9,Japantown,37.348742,-121.89471499999999,15,San Jose,08/05/2013 0:00:00,1009969,681,11/15/2015 13:36:00,Japantown,9,11/15/2015 13:47:00,Japantown,9,78,95112,Subscriber
60,9,Japantown,37.348742,-121.89471499999999,15,San Jose,08/05/2013 0:00:00,128577,506,12/17/2013 15:11:00,Japantown,9,12/17/2013 15:19:00,Japantown,9,256,95112,Subscriber
